event_idx,fire_time_s,fire_to_muzzle_s,fire_to_impact_s,pitch_peak_signed_deg,pitch_peak_abs_deg,pitch_peak_time_s,pitch_recovery_s,pitch_target_range_deg,pitch_target_stable,yaw_peak_signed_deg,yaw_peak_abs_deg,yaw_peak_time_s,yaw_recovery_s,yaw_target_range_deg,yaw_target_stable,disturbance_vector_abs_deg,stable_target,valid_disturbance_shot
226,4884.287601408,0.040698880000491044,0.17428531200039288,-1.7144553343259368,1.7144553343259368,0.15339443199991365,nan,2.9913235950645287,0,-1.410782993295534,1.410782993295534,0.07307315199977893,0.44317593600044347,2.942654616878457,0,2.220285059980039,0,0
227,4890.805428736,0.040613631999804056,0.19382912000037322,-5.650421229555721,5.650421229555721,0.2901949440001772,0.42783872000018164,9.51282425246239,0,-2.159093379159602,2.159093379159602,0.288651519999803,0.40747903999999835,4.1005761275875905,0,6.048879589754189,0,0
228,4901.9752739840005,0.03984563199992408,0.17343692800022836,-2.210718949962586,2.210718949962586,0.1562926079996032,0.37520127999960096,4.730247755314743,0,2.6042599400035655,2.6042599400035655,0.43577497600017523,nan,6.169107017269269,0,3.416057392789391,0,0
229,4913.795080704001,0.040363520000028075,0.17457612799989874,-2.0611661033342132,2.0611661033342132,0.18250521599929925,nan,6.605769179872373,0,3.0521058067106015,3.0521058067106015,0.3966597119997459,nan,5.938623860734133,0,3.6829004277729958,0,0
230,5051.451225856001,0.043652351999298844,0.1747594239996033,2.0451781185846043,2.0451781185846043,0.4697031679997963,nan,3.7446545177387023,0,-1.6563349453238025,1.6563349453238025,0.06986726399918552,0.1792481279999265,3.744301055797308,0,2.631767274634683,0,0
231,5057.851428864,0.0400463360001595,0.3093667840003036,2.2164040040811672,2.2164040040811672,0.16926848000002792,0.4098019840002962,3.9763357347415216,0,1.7164848485137512,1.7164848485137512,0.1296256000005087,0.2505730560005759,1.7898651080591819,0,2.8033492369814197,0,0
232,5070.66097024,0.04019379200053663,0.17702169600033812,-2.1210489467854368,2.1210489467854368,0.16738380800052255,0.3277803520004454,7.160344981046354,0,-2.0203935956829078,2.0203935956829078,0.06727219200001855,0.1887490560002334,2.7300005371340035,0,2.9293069002984513,0,0
233,5077.87621888,0.04007116800039512,0.18387891200018203,-2.158621108594163,2.158621108594163,0.1745500160004667,0.2950745600001028,5.265539686300659,0,-1.7989534813158432,1.7989534813158432,0.06778547199974128,0.23568921600053727,2.9439428676101222,0,2.8099606257751524,0,0
234,5093.952654592001,0.04044518399950903,0.1749465599996256,-1.6055833842755174,1.6055833842755174,0.1683837439995841,0.280964863999543,6.222372470101444,0,3.286467624988177,3.286467624988177,0.4968081919996621,nan,5.887524692119641,0,3.6576997490167305,0,0
235,5102.671540736001,0.04051046399945335,0.17341081599988684,-2.4416161646477317,2.4416161646477317,0.18183347199919808,nan,6.485788946757028,0,-1.7417616905431128,1.7417616905431128,0.07216179199986072,0.25182028800008993,5.334525814755597,0,2.999203774689659,0,0
